Time(ms),A1
301,526
302,554
303,672
304,503
305,698
306,645
307,575
308,438
309,569
310,646
311,425
312,412
313,435
314,572
315,419
316,663
317,541
318,542
319,491
320,687
321,614
322,450
323,552
324,585
325,462
326,589
327,524
328,549
329,457
330,579
331,569
332,670
333,453
334,500
335,663
336,452
337,459
338,507
339,404
340,502
341,595
342,661
343,446
344,543
345,668
346,523
347,505
348,557
349,546
350,544
351,519
352,674
353,491
354,457
355,628
356,516
357,678
358,526
359,528
360,457
361,521
362,400
363,638
364,689
365,495
366,525
367,517
368,447
369,488
370,636
371,671
372,588
373,591
374,468
375,677
376,646
377,475
378,553
379,543
380,485
381,584
382,684
383,619
384,468
385,446
386,493
387,637
388,603
389,617
390,438
391,499
392,688
393,653
394,621
395,422
396,649
397,409
398,645
399,499
400,689
401,579
402,622
403,649
404,546
405,495
406,656
407,403
408,415
409,679
410,646
411,657
412,559
413,551
414,577
415,562
416,432
417,578
418,500
419,667
420,464
421,567
422,442
423,443
424,684
425,411
426,494
427,652
428,641
429,434
430,614
431,489
432,663
433,492
434,489
435,514
436,504
437,595
438,513
439,474
440,616
441,676
442,648
443,563
444,591
445,626
446,576
447,498
448,435
449,495
450,551
451,550
452,589
453,623
454,436
455,667
456,582
457,412
458,678
459,616
460,685
461,672
462,461
463,483
464,616
465,586
466,418
467,576
468,499
469,632
470,475
471,664
472,683
473,605
474,622
475,451
476,543
477,468
478,498
479,424
480,452
481,550
482,543
483,456
484,438
485,508
486,580
487,441
488,585
489,622
490,521
491,532
492,562
493,614
494,620
495,634
496,545
497,638
498,475
499,408
500,473
501,652
502,629
503,406
504,573
505,540
506,567
507,569
508,682
509,521
510,593
511,404
512,428
513,564
514,535
515,544
516,616
517,531
518,691
519,469
520,651
521,674
522,581
523,566
524,490
525,601
526,418
527,438
528,525
529,572
530,540
531,641
532,619
533,525
534,457
535,547
536,400
537,589
538,590
539,516
540,533
541,457
542,443
543,572
544,559
545,572
546,548
547,479
548,612
549,602
550,651
551,628
552,563
553,626
554,546
555,419
556,446
557,632
558,413
559,542
560,400
561,453
562,658
563,543
564,411
565,623
566,671
567,555
568,407
569,521
570,563
571,489
572,535
573,585
574,577
575,427
576,619
577,440
578,627
579,591
580,544
581,600
582,611
583,619
584,639
585,445
586,434
587,652
588,481
589,655
590,596
591,409
592,685
593,641
594,650
595,404
596,518
597,688
598,464
599,545
600,623
601,638
602,576
603,666
604,681
605,462
606,616
607,682
608,576
609,497
610,504
611,498
612,405
613,596
614,532
615,658
616,422
617,452
618,564
619,601
620,482
621,544
622,484
623,477
624,400
625,450
626,572
627,604
628,659
629,687
630,433
631,494
632,471
633,438
634,553
635,649
636,561
637,517
638,658
639,667
640,453
641,635
642,621
643,650
644,511
645,654
646,606
647,628
648,465
649,474
650,502
651,591
652,651
653,625
654,693
655,497
656,685
657,648
658,565
659,429
660,646
661,505
662,450
663,480
664,532
665,684
666,537
667,583
668,672
669,468
670,433
671,661
672,452
673,604
674,525
675,634
676,442
677,639
678,510
679,648
680,550
681,582
682,494
683,407
684,583
685,680
686,594
687,594
688,554
689,492
690,559
691,460
692,521
693,450
694,676
695,404
696,491
697,569
698,421
699,400
700,532
701,632
702,411
703,445
704,433
705,477
706,617
707,472
708,681
709,648
710,446
711,520
712,613
713,638
714,455
715,506
716,447
717,460
718,425
719,691
720,656
721,407
722,512
723,652
724,579
725,606
726,526
727,455
728,613
729,413
730,427
731,477
732,615
733,553
734,413
735,586
736,406
737,402
738,510
739,637
740,638
741,673
742,693
743,626
744,414
745,591
746,518
747,427
748,601
749,438
750,672
751,630
752,485
753,525
754,699
755,424
756,544
757,412
758,611
759,424
760,467
761,466
762,632
763,508
764,545
765,510
766,627
767,510
768,433
769,510
770,663
771,635
772,482
773,441
774,500
775,405
776,579
777,681
778,625
779,628
780,688
781,549
782,676
783,597
784,469
785,511
786,403
787,494
788,551
789,536
790,646
791,642
792,430
793,439
794,628
795,435
796,622
797,405
798,619
799,474
800,403
801,533
802,517
803,493
804,461
805,593
806,602
807,425
808,572
809,699
810,532
811,517
812,674
813,611
814,624
815,419
816,512
817,539
818,446
819,400
820,489
821,541
822,437
823,692
824,538
825,658
826,560
827,577
828,409
829,660
830,537
831,571
832,412
833,567
834,529
835,483
836,500
837,672
838,664
839,437
840,493
841,494
842,468
843,635
844,536
845,475
846,434
847,400
848,695
849,459
850,666
851,628
852,669
853,685
854,690
855,612
856,564
857,404
858,477
859,461
860,531
861,488
862,636
863,441
864,488
865,695
866,694
867,503
868,413
869,687
870,578
871,524
872,422
873,462
874,542
875,552
876,544
877,624
878,503
879,503
880,438
881,597
882,533
883,466
884,578
885,441
886,414
887,510
888,556
889,688
890,630
891,556
892,437
893,496
894,688
895,653
896,595
897,485
898,409
899,404
900,522
901,517
902,693
903,558
904,627
905,615
906,583
907,414
908,556
909,535
910,660
911,556
912,446
913,572
914,529
915,494
916,514
917,642
918,691
919,681
920,698
921,682
922,468
923,547
924,410
925,653
926,437
927,533
928,599
929,422
930,617
931,540
932,503
933,609
934,510
935,503
936,570
937,532
938,692
939,526
940,505
941,491
942,686
943,450
944,428
945,695
946,696
947,613
948,666
949,656
950,500
951,509
952,581
953,400
954,454
955,548
956,536
957,601
958,516
959,553
960,690
961,462
962,643
963,424
964,489
965,474
966,693
967,609
968,416
969,527
970,650
971,578
972,581
973,551
974,424
975,579
976,597
977,560
978,576
979,684
980,462
981,549
982,553
983,555
984,448
985,483
986,576
987,547
988,517
989,462
990,588
991,448
992,656
993,623
994,540
995,614
996,610
997,431
998,557
999,684
1000,685
1001,543
1002,418
1003,417
1004,656
1005,477
1006,574
1007,593
1008,512
1009,513
1010,621
1011,565
1012,531
1013,663
1014,454
1015,530
1016,687
1017,665
1018,561
1019,486
1020,454
1021,687
1022,577
1023,407
1024,646
1025,654
1026,453
1027,648
1028,638
1029,628
1030,466
1031,450
1032,496
1033,491
1034,663
1035,690
1036,495
1037,487
1038,477
1039,687
1040,519
1041,564
1042,581
1043,622
1044,406
1045,662
1046,560
1047,550
1048,484
1049,546
1050,511
1051,435
1052,684
1053,587
1054,481
1055,401
1056,596
1057,410
1058,633
1059,594
1060,518
1061,419
1062,660
1063,692
1064,655
1065,621
1066,625
1067,452
1068,679
1069,480
1070,601
1071,557
1072,519
1073,458
1074,614
1075,527
1076,623
1077,608
1078,514
1079,608
1080,413
1081,408
1082,439
1083,636
1084,680
1085,600
1086,645
1087,677
1088,634
1089,403
1090,553
1091,428
1092,508
1093,497
1094,614
1095,692
1096,474
1097,545
1098,527
1099,441
1100,440
1101,433
1102,416
1103,564
1104,552
1105,475
1106,486
1107,516
1108,426
1109,686
1110,533
1111,618
1112,567
1113,497
1114,667
1115,636
1116,572
1117,589
1118,521
1119,445
1120,463
1121,529
1122,592
1123,580
1124,691
1125,681
1126,428
1127,548
1128,666
1129,695
1130,410
1131,563
1132,512
1133,586
1134,694
1135,631
1136,626
1137,497
1138,454
1139,510
1140,551
1141,645
1142,468
1143,688
1144,649
1145,435
1146,638
1147,547
1148,626
1149,643
1150,600
1151,553
1152,472
1153,600
1154,695
1155,416
1156,528
1157,616
1158,460
1159,503
1160,441
1161,424
1162,438
1163,690
1164,530
1165,628
1166,507
1167,571
1168,501
1169,411
1170,674
1171,500
1172,443
1173,416
1174,456
1175,411
1176,479
1177,615
1178,663
1179,548
1180,480
1181,614
1182,597
1183,599
1184,424
1185,488
1186,667
1187,542
1188,458
1189,425
1190,446
1191,687
1192,665
1193,415
1194,598
1195,681
1196,485
1197,649
1198,669
1199,516
1200,406
1201,536
1202,575
1203,614
1204,481
1205,622
1206,502
1207,672
1208,413
1209,558
1210,551
1211,507
1212,587
1213,497
1214,530
1215,692
1216,570
1217,582
1218,438
1219,414
1220,403
1221,609
1222,560
1223,415
1224,507
1225,626
1226,569
1227,433
1228,650
1229,646
1230,668
1231,540
1232,673
1233,495
1234,626
1235,438
1236,428
1237,644
1238,635
1239,584
1240,671
1241,635
1242,638
1243,665
1244,464
1245,576
1246,402
1247,541
1248,557
1249,545
1250,692
1251,552
1252,592
1253,472
1254,539
1255,586
1256,692
1257,460
1258,597
1259,694
1260,410
1261,461
1262,625
1263,552
1264,598
1265,451
1266,659
1267,458
1268,471
1269,547
1270,462
1271,642
1272,506
1273,625
1274,617
1275,640
1276,658
1277,661
1278,404
1279,660
1280,453
1281,446
1282,614
1283,576
1284,408
1285,498
1286,419
1287,640
1288,460
1289,577
1290,461
1291,544
1292,615
1293,402
1294,559
1295,626
1296,668
1297,519
1298,488
1299,467
1300,497
1301,666
1302,504
1303,522
1304,428
1305,536
1306,594
1307,625
1308,569
1309,408
1310,439
1311,424
1312,660
1313,625
1314,523
1315,437
1316,650
1317,575
1318,489
1319,436
1320,575
1321,683
1322,480
1323,513
1324,439
1325,623
1326,514
1327,585
1328,455
1329,439
1330,439
1331,636
1332,688
1333,661
1334,615
1335,546
1336,567
1337,491
1338,458
1339,458
1340,568
1341,668
1342,444
1343,580
1344,569
1345,590
1346,554
1347,587
1348,406
1349,532
1350,634
1351,444
1352,648
1353,430
1354,422
1355,559
1356,557
1357,438
1358,481
1359,657
1360,605
1361,476
1362,411
1363,694
1364,623
1365,412
1366,445
1367,554
1368,512
1369,632
1370,416
1371,622
1372,587
1373,562
1374,473
1375,632
1376,623
1377,459
1378,621
1379,436
1380,677
1381,595
1382,641
1383,618
1384,591
1385,416
1386,411
1387,592
1388,421
1389,519
1390,609
1391,669
1392,591
1393,574
1394,684
1395,603
1396,563
1397,650
1398,626
1399,406
1400,428
1401,432
1402,533
1403,478
1404,457
1405,425
1406,625
1407,684
1408,403
1409,498
1410,438
1411,670
1412,684
1413,556
1414,474
1415,687
1416,529
1417,574
1418,483
1419,421
1420,426
1421,594
1422,635
1423,491
1424,420
1425,483
1426,661
1427,546
1428,656
1429,457
1430,414
1431,561
1432,562
1433,680
1434,679
1435,411
1436,673
1437,670
1438,607
1439,426
1440,471
1441,459
1442,544
1443,492
1444,407
1445,478
1446,426
1447,573
1448,449
1449,598
1450,580
1451,423
1452,445
1453,414
1454,552
1455,621
1456,605
1457,672
1458,635
1459,627
1460,408
1461,565
1462,613
1463,516
1464,471
1465,463
1466,604
1467,608
1468,471
1469,676
1470,673
1471,494
1472,565
1473,431
1474,410
1475,616
1476,688
1477,501
1478,666
1479,613
1480,578
1481,487
1482,440
1483,475
1484,445
1485,559
1486,479
1487,485
1488,491
1489,547
1490,560
1491,601
1492,641
1493,401
1494,624
1495,688
1496,632
1497,476
1498,515
1499,553
1500,502
1501,593
1502,565
1503,489
1504,573
1505,521
1506,542
1507,505
1508,522
1509,408
1510,661
1511,472
1512,622
1513,440
1514,603
1515,663
1516,577
1517,483
1518,510
1519,650
1520,406
1521,483
1522,607
1523,421
1524,402
1525,526
1526,696
1527,587
1528,413
1529,411
1530,486
1531,411
1532,424
1533,642
1534,521
1535,546
1536,454
1537,637
1538,572
1539,620
1540,518
1541,582
1542,687
1543,699
1544,481
1545,610
1546,549
1547,436
1548,458
1549,530
1550,601
1551,642
1552,434
1553,492
1554,606
1555,612
1556,558
1557,423
1558,692
1559,403
1560,619
1561,419
1562,551
1563,449
1564,576
1565,495
1566,504
1567,649
1568,516
1569,627
1570,465
1571,661
1572,694
1573,642
1574,585
1575,645
1576,524
1577,667
1578,530
1579,636
1580,417
1581,439
1582,420
1583,624
1584,681
1585,407
1586,499
1587,639
1588,486
1589,697
1590,413
1591,401
1592,692
1593,440
1594,510
1595,413
1596,630
1597,483
1598,529
1599,630
1600,544
1601,427
1602,465
1603,562
1604,628
1605,660
1606,563
1607,686
1608,409
1609,594
1610,517
1611,669
1612,479
1613,492
1614,665
1615,656
1616,532
1617,675
1618,663
1619,570
1620,400
1621,463
1622,683
1623,520
1624,506
1625,574
1626,603
1627,564
1628,519
1629,443
1630,555
1631,606
1632,507
1633,650
1634,529
1635,692
1636,419
1637,681
1638,684
1639,400
1640,518
1641,434
1642,597
1643,644
1644,458
1645,560
1646,578
1647,605
1648,411
1649,675
1650,580
1651,641
1652,615
1653,650
1654,698
1655,525
1656,616
1657,684
1658,584
1659,438
1660,622
1661,583
1662,577
1663,693
1664,550
1665,525
1666,633
1667,407
1668,528
1669,663
1670,556
1671,404
1672,485
1673,574
1674,689
1675,592
1676,518
1677,617
1678,513
1679,544
1680,425
1681,535
1682,631
1683,475
1684,688
1685,400
1686,546
1687,686
1688,541
1689,452
1690,468
1691,489
1692,619
1693,591
1694,462
1695,472
1696,560
1697,568
1698,488
1699,575
1700,668
1701,472
1702,644
1703,476
1704,558
1705,497
1706,501
1707,531
1708,501
1709,418
1710,481
1711,678
1712,528
1713,488
1714,612
1715,542
1716,464
1717,475
1718,598
1719,542
1720,492
1721,623
1722,690
1723,501
1724,666
1725,509
1726,664
1727,402
1728,484
1729,681
1730,516
1731,620
1732,553
1733,552
1734,411
1735,532
1736,692
1737,699
1738,627
1739,670
1740,442
1741,420
1742,506
1743,516
1744,523
1745,680
1746,691
1747,602
1748,450
1749,670
1750,676
1751,540
1752,674
1753,689
1754,451
1755,426
1756,556
1757,638
1758,555
1759,690
1760,535
1761,543
1762,505
1763,557
1764,545
1765,401
1766,476
1767,531
1768,489
1769,662
1770,507
1771,473
1772,438
1773,558
1774,470
1775,640
1776,697
1777,435
1778,483
1779,662
1780,571
1781,572
1782,446
1783,540
1784,517
1785,676
1786,613
1787,619
1788,425
1789,408
1790,670
1791,409
1792,520
1793,524
1794,569
1795,471
1796,551
1797,607
1798,448
1799,553
1800,692
1801,467
1802,449
1803,551
1804,418
1805,499
1806,459
1807,566
1808,601
1809,545
1810,563
1811,641
1812,468
1813,574
1814,448
1815,507
1816,625
1817,560
1818,518
1819,548
1820,549
1821,692
1822,542
1823,559
1824,410
1825,537
1826,477
1827,476
1828,653
1829,657
1830,690
1831,662
1832,484
1833,545
1834,441
1835,524
1836,566
1837,640
1838,679
1839,587
1840,418
1841,467
1842,617
1843,501
1844,441
1845,687
1846,566
1847,508
1848,435
1849,631
1850,628
1851,563
1852,472
1853,535
1854,469
1855,595
1856,668
1857,448
1858,529
1859,404
1860,426
1861,559
1862,548
1863,663
1864,629
1865,599
1866,449
1867,466
1868,699
1869,457
1870,658
1871,529
1872,614
1873,571
1874,657
1875,501
1876,608
1877,690
1878,685
1879,515
1880,663
1881,549
1882,699
1883,435
1884,686
1885,607
1886,505
1887,557
1888,520
1889,454
1890,411
1891,544
1892,535
1893,402
1894,543
1895,429
1896,636
1897,678
1898,514
1899,503
1900,517
1901,404
1902,647
1903,520
1904,685
1905,548
1906,483
1907,630
1908,687
1909,560
1910,671
1911,437
1912,625
1913,541
1914,691
1915,550
1916,513
1917,636
1918,465
1919,657
1920,648
1921,579
1922,589
1923,553
1924,595
1925,661
1926,542
1927,500
1928,643
1929,411
1930,638
1931,448
1932,441
1933,565
1934,481
1935,690
1936,557
1937,615
1938,557
1939,533
1940,466
1941,406
1942,413
1943,472
1944,562
1945,465
1946,529
1947,605
1948,675
1949,655
1950,665
1951,424
1952,680
1953,652
1954,688
1955,563
1956,494
1957,669
1958,509
1959,637
1960,424
1961,540
1962,516
1963,424
1964,478
1965,467
1966,572
1967,411
1968,687
1969,527
1970,495
1971,491
1972,540
1973,430
1974,419
1975,545
1976,559
1977,442
1978,653
1979,529
1980,459
1981,550
1982,686
1983,404
1984,665
1985,529
1986,666
1987,577
1988,652
1989,455
1990,482
1991,498
1992,548
1993,555
1994,589
1995,662
1996,479
1997,651
1998,496
1999,659
2000,659
2001,502
2002,439
2003,672
2004,500
2005,620
2006,523
2007,630
2008,577
2009,462
2010,515
2011,590
2012,461
2013,655
2014,406
2015,554
2016,491
2017,413
2018,628
2019,485
2020,532
2021,582
2022,461
2023,618
2024,645
2025,629
2026,478
2027,548
2028,537
2029,464
2030,412
2031,612
2032,641
2033,612
2034,580
2035,572
2036,559
2037,563
2038,587
2039,590
2040,655
2041,582
2042,516
2043,681
2044,595
2045,433
2046,451
2047,511
2048,651
2049,481
2050,631
2051,626
2052,632
2053,620
2054,441
2055,420
2056,441
2057,512
2058,504
2059,591
2060,416
2061,519
2062,528
2063,529
2064,459
2065,447
2066,428
2067,496
2068,409
2069,641
2070,631
2071,676
2072,683
2073,602
2074,646
2075,689
2076,663
2077,613
2078,599
2079,478
2080,572
2081,468
2082,486
2083,500
2084,407
2085,599
2086,486
2087,442
2088,508
2089,551
2090,416
2091,532
2092,547
2093,676
2094,631
2095,627
2096,538
2097,610
2098,427
2099,450
2100,660
2101,660
2102,407
2103,537
2104,437
2105,510
2106,619
2107,622
2108,535
2109,655
2110,448
2111,691
2112,477
2113,504
2114,568
2115,616
2116,518
2117,589
2118,654
2119,665
2120,548
2121,563
2122,539
2123,657
2124,668
2125,580
2126,559
2127,687
2128,687
2129,625
2130,410
2131,409
2132,670
2133,672
2134,582
2135,552
2136,523
2137,513
2138,677
2139,612
2140,571
2141,687
2142,573
2143,512
2144,521
2145,431
2146,621
2147,518
2148,438
2149,667
2150,632
2151,417
2152,548
2153,548
2154,525
2155,637
2156,534
2157,550
2158,635
2159,623
2160,602
2161,655
2162,485
2163,549
2164,634
2165,421
2166,684
2167,668
2168,657
2169,428
2170,612
2171,682
2172,449
2173,494
2174,487
2175,443
2176,677
2177,570
2178,588
2179,583
2180,402
2181,590
2182,517
2183,418
2184,422
2185,429
2186,694
2187,507
2188,680
2189,527
2190,628
2191,510
2192,535
2193,585
2194,543
2195,471
2196,528
2197,660
2198,402
2199,503
2200,623
2201,409
2202,630
2203,618
2204,465
2205,511
2206,412
2207,485
2208,633
2209,489
2210,453
2211,411
2212,608
2213,413
2214,520
2215,419
2216,474
2217,642
2218,622
2219,469
2220,610
2221,500
2222,585
2223,531
2224,510
2225,531
2226,419
2227,423
2228,626
2229,553
2230,692
2231,629
2232,601
2233,437
2234,659
2235,587
2236,456
2237,419
2238,672
2239,518
2240,470
2241,403
2242,620
2243,413
2244,402
2245,615
2246,628
2247,585
2248,454
2249,653
2250,423
2251,561
2252,557
2253,481
2254,558
2255,587
2256,459
2257,610
2258,551
2259,508
2260,475
2261,429
2262,516
2263,591
2264,418
2265,572
2266,627
2267,582
2268,512
2269,582
2270,545
2271,515
2272,512
2273,650
2274,650
2275,517
2276,560
2277,597
2278,659
2279,547
2280,639
2281,446
2282,597
2283,446
2284,477
2285,523
2286,474
2287,536
2288,489
2289,460
2290,537
2291,449
2292,658
2293,506
2294,512
2295,653
2296,517
2297,597
2298,450
2299,644
2300,434
2301,468
2302,448
2303,473
2304,591
2305,660
2306,469
2307,489
2308,659
2309,525
2310,630
2311,694
2312,528
2313,679
2314,499
2315,696
2316,581
2317,573
2318,587
2319,456
2320,430
2321,483
2322,551
2323,435
2324,612
2325,505
2326,619
2327,562
2328,619
2329,669
2330,519
2331,581
2332,505
2333,616
2334,604
2335,469
2336,443
2337,627
2338,583
2339,506
2340,483
2341,649
2342,420
2343,595
2344,577
2345,406
2346,469
2347,526
2348,559
2349,647
2350,602
2351,547
2352,542
2353,598
2354,553
2355,541
2356,564
2357,420
2358,481
2359,468
2360,530
2361,486
2362,617
2363,560
2364,577
2365,516
2366,595
2367,485
2368,688
2369,480
2370,551
2371,460
2372,460
2373,427
2374,442
2375,568
2376,485
2377,576
2378,416
2379,497
2380,597
2381,497
2382,464
2383,404
2384,401
2385,421
2386,511
2387,456
2388,465
2389,497
2390,543
2391,524
2392,566
2393,485
2394,475
2395,693
2396,458
2397,537
2398,498
2399,591
2400,642
2401,448
2402,431
2403,676
2404,419
2405,553
2406,467
2407,613
2408,542
2409,631
2410,612
2411,478
2412,613
2413,515
2414,491
2415,669
2416,567
2417,457
2418,683
2419,425
2420,465
2421,647
2422,653
2423,443
2424,496
2425,441
2426,626
2427,661
2428,566
2429,678
2430,488
2431,577
2432,596
2433,666
2434,667
2435,473
2436,407
2437,696
2438,563
2439,484
2440,471
2441,454
2442,446
2443,637
2444,503
2445,609
2446,441
2447,667
2448,662
2449,658
2450,682
2451,513
2452,439
2453,619
2454,528
2455,407
2456,500
2457,575
2458,506
2459,500
2460,659
2461,645
2462,674
2463,431
2464,536
2465,411
2466,415
2467,528
2468,462
2469,508
2470,420
2471,557
2472,668
2473,561
2474,659
2475,501
2476,622
2477,458
2478,646
2479,527
2480,682
2481,424
2482,530
2483,595
2484,680
2485,553
2486,532
2487,626
2488,588
2489,664
2490,533
2491,610
2492,459
2493,612
2494,615
2495,625
2496,530
2497,475
2498,685
2499,676
2500,555
2501,647
2502,617
2503,589
2504,562
2505,579
2506,433
2507,440
2508,474
2509,678
2510,575
2511,549
2512,672
2513,507
2514,538
2515,670
2516,688
2517,611
2518,671
2519,465
2520,647
2521,555
2522,446
2523,600
2524,547
2525,523
2526,400
2527,646
2528,527
2529,590
2530,466
2531,403
2532,693
2533,542
2534,590
2535,420
2536,626
2537,516
2538,541
2539,438
2540,651
2541,606
2542,609
2543,514
2544,624
2545,533
2546,650
2547,618
2548,490
2549,445
2550,437
2551,541
2552,499
2553,589
2554,434
2555,546
2556,429
2557,483
2558,680
2559,669
2560,553
2561,501
2562,614
2563,549
2564,482
2565,509
2566,674
2567,600
2568,683
2569,572
2570,605
2571,462
2572,472
2573,650
2574,523
2575,520
2576,674
2577,519
2578,563
2579,685
2580,664
2581,560
2582,488
2583,541
2584,602
2585,626
2586,621
2587,440
2588,595
2589,467
2590,663
2591,401
2592,524
2593,509
2594,485
2595,519
2596,526
2597,654
2598,582
2599,415
2600,461
2601,557
2602,667
2603,434
2604,666
2605,463
2606,449
2607,654
2608,548
2609,675
2610,571
2611,600
2612,434
2613,615
2614,464
2615,407
2616,475
2617,573
2618,446
2619,414
2620,546
2621,425
2622,492
2623,631
2624,420
2625,437
2626,675
2627,556
2628,578
2629,531
2630,427
2631,659
2632,475
2633,466
2634,593
2635,561
2636,656
2637,471
2638,486
2639,661
2640,613
2641,552
2642,609
2643,460
2644,667
2645,661
2646,617
2647,682
2648,535
2649,492
2650,508
2651,640
2652,541
2653,690
2654,636
2655,576
2656,540
2657,588
2658,448
2659,589
2660,535
2661,442
2662,489
2663,694
2664,644
2665,591
2666,505
2667,632
2668,664
2669,436
2670,440
2671,416
2672,676
2673,458
2674,582
2675,440
2676,438
2677,591
2678,666
2679,546
2680,526
2681,445
2682,444
2683,400
2684,567
2685,507
2686,418
2687,471
2688,508
2689,667
2690,639
2691,489
2692,502
2693,649
2694,407
2695,552
2696,573
2697,557
2698,614
2699,576
2700,574
2701,545
2702,560
2703,526
2704,481
2705,546
2706,638
2707,483
2708,512
2709,624
2710,642
2711,542
2712,440
2713,657
2714,684
2715,504
2716,601
2717,665
2718,609
2719,450
2720,517
2721,600
2722,438
2723,427
2724,658
2725,483
2726,554
2727,516
2728,401
2729,492
2730,565
2731,695
2732,657
2733,480
2734,667
2735,634
2736,612
2737,461
2738,448
2739,526
2740,622
2741,678
2742,693
2743,683
2744,676
2745,506
2746,545
2747,498
2748,472
2749,521
2750,429
2751,587
2752,687
2753,594
2754,555
2755,571
2756,440
2757,462
2758,422
2759,474
2760,447
2761,559
2762,517
2763,499
2764,566
2765,689
2766,555
2767,406
2768,595
2769,455
2770,592
2771,446
2772,547
2773,674
2774,556
2775,601
2776,525
2777,693
2778,463
2779,575
2780,515
2781,603
2782,430
2783,512
2784,466
2785,474
2786,444
2787,659
2788,553
2789,554
2790,633
2791,450
2792,661
2793,524
2794,644
2795,429
2796,521
2797,524
2798,436
2799,569
2800,523
2801,434
2802,486
2803,533
2804,595
2805,673
2806,600
2807,684
2808,476
2809,458
2810,525
2811,508
2812,623
2813,677
2814,467
2815,468
2816,564
2817,561
2818,441
2819,508
2820,450
2821,649
2822,420
2823,699
2824,538
2825,491
2826,679
2827,524
2828,510
2829,538
2830,672
2831,498
2832,651
2833,503
2834,613
2835,648
2836,551
2837,649
2838,674
2839,564
2840,407
2841,683
2842,404
2843,544
2844,500
2845,563
2846,546
2847,463
2848,490
2849,516
2850,666
2851,572
2852,446
2853,539
2854,645
2855,548
2856,645
2857,404
2858,583
2859,419
2860,445
2861,411
2862,469
2863,416
2864,546
2865,553
2866,507
2867,635
2868,469
2869,582
2870,649
2871,627
2872,501
2873,474
2874,615
2875,602
2876,591
2877,648
2878,641
2879,578
2880,618
2881,481
2882,491
2883,574
2884,638
2885,659
2886,562
2887,447
2888,515
2889,624
2890,546
2891,462
2892,693
2893,412
2894,588
2895,686
2896,607
2897,513
2898,421
2899,613
2900,570
2901,453
2902,697
2903,525
2904,676
2905,603
2906,593
2907,568
2908,551
2909,434
2910,583
2911,685
2912,456
2913,621
2914,562
2915,418
2916,663
2917,681
2918,512
2919,429
2920,534
2921,466
2922,464
2923,691
2924,424
2925,436
2926,400
2927,436
2928,540
2929,631
2930,535
2931,587
2932,527
2933,600
2934,526
2935,656
2936,563
2937,434
2938,593
2939,590
2940,503
2941,422
2942,664
2943,689
2944,659
2945,474
2946,471
2947,658
2948,587
2949,572
2950,689
2951,444
2952,460
2953,482
2954,522
2955,415
2956,465
2957,544
2958,561
2959,633
2960,543
2961,587
2962,412
2963,583
2964,510
2965,689
2966,694
2967,614
2968,519
2969,454
2970,426
2971,517
2972,620
2973,630
2974,452
2975,694
2976,632
2977,557
2978,668
2979,420
2980,452
2981,674
2982,680
2983,613
2984,430
2985,582
2986,422
2987,431
2988,473
2989,409
2990,453
2991,451
2992,547
2993,559
2994,413
2995,577
